Symbol,Ensembl_Gene_ID,Category
DCN,ENSG00000011465,Stromal
PAPPA,ENSG00000182752,Stromal
SFRP4,ENSG00000106483,Stromal
THBS2,ENSG00000186340,Stromal
LY86,ENSG00000112799,Stromal
CXCL14,ENSG00000145824,Stromal
FOXF1,ENSG00000103241,Stromal
COL10A1,ENSG00000123500,Stromal
ACTG2,ENSG00000163017,Stromal
APBB1IP,ENSG00000077420,Stromal
SH2D1A,ENSG00000183918,Stromal
SULF1,ENSG00000137573,Stromal
MSR1,ENSG00000038945,Stromal
C3AR1,ENSG00000171860,Stromal
FAP,ENSG00000078098,Stromal
PTGIS,ENSG00000124212,Stromal
ITGBL1,ENSG00000198542,Stromal
BGN,ENSG00000182492,Stromal
CXCL12,ENSG00000107562,Stromal
ECM2,ENSG00000106823,Stromal
FCGR2A,ENSG00000143226,Stromal
MS4A4A,ENSG00000110079,Stromal
CCN4,ENSG00000104415,Stromal
COL1A2,ENSG00000164692,Stromal
MS4A6A,ENSG00000110077,Stromal
EDNRA,ENSG00000151617,Stromal
VCAM1,ENSG00000162692,Stromal
ADGRA2,ENSG00000020181,Stromal
SCUBE2,ENSG00000175356,Stromal
AIF1,ENSG00000204472,Stromal
HEPH,ENSG00000089472,Stromal
LUM,ENSG00000139329,Stromal
PTGER3,ENSG00000050628,Stromal
RUNX1T1,ENSG00000079102,Stromal
CDH5,ENSG00000179776,Stromal
PIK3R5,ENSG00000141506,Stromal
RAMP3,ENSG00000122679,Stromal
LDB2,ENSG00000169744,Stromal
COX7A1,ENSG00000161281,Stromal
EDIL3,ENSG00000164176,Stromal
DDR2,ENSG00000162733,Stromal
FCGR2B,ENSG00000072694,Stromal
PLPPR4,ENSG00000117600,Stromal
COL15A1,ENSG00000204291,Stromal
AOC3,ENSG00000131471,Stromal
ITIH3,ENSG00000162267,Stromal
FMO1,ENSG00000010932,Stromal
PRKG1,ENSG00000185532,Stromal
PLXDC1,ENSG00000161381,Stromal
VSIG4,ENSG00000155659,Stromal
COL6A3,ENSG00000163359,Stromal
SGCD,ENSG00000170624,Stromal
COL3A1,ENSG00000168542,Stromal
F13A1,ENSG00000124491,Stromal
OLFML1,ENSG00000183801,Stromal
IGSF6,ENSG00000140749,Stromal
COMP,ENSG00000105664,Stromal
HGF,ENSG00000019991,Stromal
GIMAP5,ENSG00000196329,Stromal
ABCA6,ENSG00000154262,Stromal
ITGAM,ENSG00000169896,Stromal
MAF,ENSG00000178573,Stromal
ITM2A,ENSG00000078596,Stromal
CLEC7A,ENSG00000172243,Stromal
ASPN,ENSG00000106819,Stromal
LRRC15,ENSG00000172061,Stromal
ERG,ENSG00000157554,Stromal
CD86,ENSG00000114013,Stromal
TRAT1,ENSG00000163519,Stromal
COL8A2,ENSG00000171812,Stromal
TCF21,ENSG00000118526,Stromal
CD93,ENSG00000125810,Stromal
CD163,ENSG00000177575,Stromal
GREM1,ENSG00000166923,Stromal
LMOD1,ENSG00000163431,Stromal
TLR2,ENSG00000137462,Stromal
ZEB2,ENSG00000169554,Stromal
C1QB,ENSG00000173369,Stromal
KCNJ8,ENSG00000121361,Stromal
KDR,ENSG00000128052,Stromal
CD33,ENSG00000105383,Stromal
RASGRP3,ENSG00000152689,Stromal
TNFSF4,ENSG00000117586,Stromal
CCR1,ENSG00000163823,Stromal
CSF1R,ENSG00000182578,Stromal
BTK,ENSG00000010671,Stromal
MFAP5,ENSG00000197614,Stromal
MXRA5,ENSG00000101825,Stromal
ISLR,ENSG00000129009,Stromal
ARHGAP28,ENSG00000088756,Stromal
ZFPM2,ENSG00000169946,Stromal
TLR7,ENSG00000196664,Stromal
ADAM12,ENSG00000148848,Stromal
OLFML2B,ENSG00000162745,Stromal
ENPP2,ENSG00000136960,Stromal
CILP,ENSG00000138615,Stromal
SIGLEC1,ENSG00000088827,Stromal
SPON2,ENSG00000159674,Stromal
PLXNC1,ENSG00000136040,Stromal
ADAMTS5,ENSG00000154736,Stromal
SAMSN1,ENSG00000155307,Stromal
CH25H,ENSG00000138135,Stromal
COL14A1,ENSG00000187955,Stromal
EMCN,ENSG00000164035,Stromal
RGS4,ENSG00000117152,Stromal
PCDH12,ENSG00000113555,Stromal
RARRES2,ENSG00000106538,Stromal
CD248,ENSG00000174807,Stromal
PDGFRB,ENSG00000113721,Stromal
C1QA,ENSG00000173372,Stromal
COL5A3,ENSG00000080573,Stromal
IGF1,ENSG00000017427,Stromal
SP140,ENSG00000079263,Stromal
TFEC,ENSG00000105967,Stromal
TNN,ENSG00000120332,Stromal
ATP8B4,ENSG00000104043,Stromal
ZNF423,ENSG00000102935,Stromal
FRZB,ENSG00000162998,Stromal
SERPING1,ENSG00000149131,Stromal
ENPEP,ENSG00000138792,Stromal
