agent,aliases,target_gene,modality,modality_detail,sponsor,development_stage,highest_phase,fda_approved,approval_year,approved_indication,brand_name,indications,num_trials,key_trials,key_pmids,notes
tilvestamab,BGB149,AXL,mAb,,BerGenBio,clinical_completed_unapproved,phase_1,no,,,,Platinum-resistant ovarian cancer (BGB149),1,NCT03795142|Early Phase 1|COMPLETED|BerGenBio ASA,42113498; 42090760; 42085627; 42045170,Anti-AXL mAb; Phase 1 NCT03795142 completed; clinical data limited.
enapotamab vedotin,HuMax-AXL-ADC,AXL,ADC,,Genmab,clinical_completed_unapproved,phase_2,no,,,,NSCLC; ovarian; endometrial; TNBC,1,NCT02988817|Phase 1/Phase 2|COMPLETED|Genmab,41166388; 40600224; 35886842; 42113498; 42090760; 42085627; 42045170,Anti-AXL vedotin ADC; Phase 1/2 NCT02988817 completed; program ended 2022; precedent for AXL ADC clinical experience.
girentuximab,G250; TLX250; 89Zr-girentuximab,CA9,mAb,,Telix Pharmaceuticals,clinical_active,phase_3,no,,,,ccRCC PET imaging (89Zr-girentuximab); ccRCC therapy (development),5,NCT07197580|Phase 3|RECRUITING|Telix Pharmaceuticals (Innovations) Pty Limited; NCT07179770|Phase 1|RECRUITING|NYU Langone Health; NCT06735560|NA|RECRUITING|Nantes University Hospital; NCT06447103|Phase 2|RECRUITING|Jonsson Comprehensive Cancer Center; NCT06750419|Phase 3|RECRUITING|Telix Pharmaceuticals (Innovations) Pty Limited,42122026; 42025513; 41789659; 41774135; 41754999; 41653978; 41637489; 41631002,
axicabtagene ciloleucel,axi-cel; KTE-C19,CD19,CAR_T,,Kite / Gilead,fda_approved,approved,yes,,,Yescarta,DLBCL; primary mediastinal B-cell lymphoma; follicular lymphoma,4,"NCT07479797|Phase 3|RECRUITING|Kite, A Gilead Company; NCT05077527|Phase 1|RECRUITING|AIDS Malignancy Consortium; NCT03761056|Phase 2|COMPLETED|Kite, A Gilead Company; NCT03391466|Phase 3|COMPLETED|Kite, A Gilead Company",42119568; 42118449; 42112708; 42101810; 42099680; 42086512; 42052989; 42038359,Hematologic exemplar (B-cell malignancies); included to illustrate modality maturity rather than direct solid-tumor utility.
blinatumomab,AMG 103; CD19 x CD3 BiTE,CD19,TCE,,Amgen,fda_approved,approved,yes,2014,,Blincyto,Relapsed/refractory B-ALL; MRD+ B-ALL; CD19+ B-cell precursor ALL consolidation,5,"NCT07570173|Phase 2/Phase 3|RECRUITING|Merck Sharp & Dohme LLC; NCT06317662|Phase 2|RECRUITING|National Cancer Institute (NCI); NCT07052370|Phase 1|RECRUITING|St. Jude Children's Research Hospital; NCT06220487|Phase 2|RECRUITING|Nanfang Hospital, Southern Medical University; NCT06607991|Phase 1|RECRUITING|The Children's Hospital of Zhejiang University School of Medicine",42115907; 42104717; 42102341; 42099119; 42094005; 42091698; 42069715; 42060255,Hematologic exemplar (B-cell malignancies); included to illustrate modality maturity rather than direct solid-tumor utility.
brexucabtagene autoleucel,brexu-cel; KTE-X19,CD19,CAR_T,,Kite / Gilead,fda_approved,approved,yes,,,Tecartus,Mantle cell lymphoma; B-ALL (adult),0,,42099215; 42077190; 42036693; 42002230; 41972172; 41797462; 41796018; 41779968,Hematologic exemplar (B-cell malignancies); included to illustrate modality maturity rather than direct solid-tumor utility.
lisocabtagene maraleucel,liso-cel; JCAR017,CD19,CAR_T,,Bristol Myers Squibb,fda_approved,approved,yes,,,Breyanzi,LBCL; CLL/SLL; follicular lymphoma; MCL,0,,42099680; 42081292; 42052989; 42050853; 42044466; 42018609; 41968224; 41935576,Hematologic exemplar (B-cell malignancies); included to illustrate modality maturity rather than direct solid-tumor utility.
loncastuximab tesirine-lpyl,loncastuximab tesirine; ADCT-402,CD19,ADC,,ADC Therapeutics,fda_approved,approved,yes,2021,,Zynlonta,Relapsed/refractory DLBCL,0,,40836271; 39778751; 38406517; 37646659; 37208793; 35340719; 34909802,Hematologic exemplar (B-cell malignancies); included to illustrate modality maturity rather than direct solid-tumor utility.
tisagenlecleucel,CTL019,CD19,CAR_T,,Novartis,fda_approved,approved,yes,,,Kymriah,B-ALL (pediatric/young adult); DLBCL; follicular lymphoma,1,NCT05310591|Phase 1/Phase 2|RECRUITING|Assistance Publique - Hôpitaux de Paris,42114808; 42109668; 42086512; 42018609; 42001436; 41959729; 41953008; 41935576,Hematologic exemplar (B-cell malignancies); included to illustrate modality maturity rather than direct solid-tumor utility.
samalizumab,ALXN6000,CD200,mAb,,Alexion / Sorrento,clinical_completed_unapproved,phase_1,no,,,,CLL; multiple myeloma,2,"NCT02987504|Phase 1|TERMINATED|Alexion Pharmaceuticals, Inc.; NCT00648739|Phase 1/Phase 2|TERMINATED|Alexion Pharmaceuticals, Inc.",36738455; 31443741; 42095447; 41746550; 41730908; 41667896,"Anti-CD200 humanized mAb; Phase 1/2 NCT02987504 terminated; no follow-on. Other anti-CD200 CAR-Ts (e.g., CCT303-406) in early development."
