cancer_code,matched_normal_tissue,symbol,ensembl_gene_id,fold_change_vs_matched_normal,tumor_tpm,matched_normal_ntpm,max_immune_ntpm,max_muscle_ntpm,max_fat_ntpm
ACC,adrenal_gland,BIRC7,ENSG00000101197,20.6,47.64,1.31,2.08,0.5,0.99
ACC,adrenal_gland,MAGEA9,ENSG00000123584,19.6,19.57,0.0,0.0,0.0,0.0
ACC,adrenal_gland,PKMYT1,ENSG00000127564,18.8,49.64,1.64,23.56,1.91,1.56
ACC,adrenal_gland,MAD2L1,ENSG00000164109,12.9,21.34,0.66,6.25,1.7,0.42
ACC,adrenal_gland,SPACA6,ENSG00000182310,12.8,21.22,0.66,0.61,0.31,0.57
ACC,adrenal_gland,C10orf82,ENSG00000165863,12.5,47.42,2.79,0.2,0.4,0.42
ACC,adrenal_gland,CCNDBP1,ENSG00000166946,12.4,40.97,2.3,17.0,2.33,4.39
ACC,adrenal_gland,ESS2,ENSG00000100056,11.2,18.49,0.66,1.36,1.7,0.85
ACC,adrenal_gland,UMPS,ENSG00000114491,10.7,35.28,2.3,3.78,2.33,1.84
ATRT,cerebellum,COL11A1,ENSG00000060718,302.4,652.04,1.16,0.76,0.42,0.71
ATRT,cerebellum,NNMT,ENSG00000166741,155.6,443.51,1.85,54.1,61.56,179.44
ATRT,cerebellum,KAZALD1,ENSG00000107821,132.3,162.91,0.23,26.6,7.83,3.97
ATRT,cerebellum,PLAU,ENSG00000122861,101.3,194.96,0.93,83.31,47.76,79.03
ATRT,cerebellum,LOX,ENSG00000113083,101.1,241.37,1.39,13.71,23.2,38.24
ATRT,cerebellum,CTSV,ENSG00000136943,94.9,116.88,0.23,7.66,1.7,0.28
ATRT,cerebellum,GDF15,ENSG00000130513,75.6,215.39,1.85,16.93,4.42,47.73
ATRT,cerebellum,TFPI,ENSG00000003436,64.3,213.1,2.31,52.38,62.83,92.48
ATRT,cerebellum,PRAME,ENSG00000185686,59.6,87.1,0.46,0.41,0.42,0.28
ATRT,cerebellum,CLIC6,ENSG00000159212,57.3,70.5,0.23,8.6,10.74,15.72
BLCA,urinary_bladder,MAGEA6,ENSG00000197172,92.5,92.55,0.0,0.15,0.0,0.28
BLCA,urinary_bladder,PKMYT1,ENSG00000127564,86.5,169.01,0.95,23.56,1.91,1.56
BLCA,urinary_bladder,UMPS,ENSG00000114491,64.7,135.22,1.09,3.78,2.33,1.84
BLCA,urinary_bladder,CENPF,ENSG00000117724,57.7,136.2,1.36,17.86,4.46,0.85
BLCA,urinary_bladder,LY6K,ENSG00000160886,50.3,118.82,1.36,0.78,3.2,7.36
BLCA,urinary_bladder,LIG1,ENSG00000105486,49.9,199.48,3.0,26.23,3.61,3.12
BLCA,urinary_bladder,MAGEA3,ENSG00000221867,48.6,48.62,0.0,0.0,0.0,0.28
BLCA,urinary_bladder,TROAP,ENSG00000135451,47.2,162.91,2.45,43.57,5.73,1.7
BLCA,urinary_bladder,NUSAP1,ENSG00000137804,46.2,159.58,2.45,75.33,5.52,2.55
BLCA,urinary_bladder,MAD2L1,ENSG00000164109,45.2,88.24,0.95,6.25,1.7,0.42
BRCA,breast,COL10A1,ENSG00000123500,261.9,370.39,0.41,3.63,1.06,0.42
